1.231,1.990,9.596,-0.083,0.056,-0.059
1.240,2.028,9.606,-0.093,0.049,-0.058
1.255,2.047,9.649,-0.102,0.043,-0.058
1.281,2.042,9.680,-0.107,0.037,-0.060
1.302,2.021,9.711,-0.111,0.032,-0.063
1.324,1.992,9.737,-0.112,0.027,-0.063
1.358,1.944,9.768,-0.113,0.023,-0.063
1.386,1.884,9.807,-0.111,0.019,-0.059
1.420,1.836,9.833,-0.106,0.017,-0.054
1.429,1.812,9.850,-0.101,0.014,-0.049
1.432,1.798,9.867,-0.092,0.013,-0.039
1.437,1.784,9.883,-0.082,0.012,-0.028
1.439,1.784,9.881,-0.070,0.012,-0.016
1.444,1.817,9.876,-0.056,0.011,-0.002
1.453,1.834,9.821,-0.048,0.009,0.007
1.456,1.848,9.759,-0.046,0.006,0.011
1.472,1.865,9.718,-0.045,0.002,0.014
1.492,1.867,9.665,-0.046,-0.005,0.017
1.520,1.856,9.629,-0.046,-0.010,0.020
1.537,1.853,9.618,-0.047,-0.015,0.024
1.551,1.853,9.618,-0.049,-0.022,0.029
1.580,1.844,9.586,-0.052,-0.028,0.033
1.595,1.848,9.560,-0.058,-0.035,0.036
1.604,1.832,9.550,-0.063,-0.040,0.036
1.607,1.822,9.541,-0.071,-0.048,0.034
1.633,1.817,9.555,-0.075,-0.056,0.033
1.642,1.815,9.574,-0.079,-0.064,0.033
1.638,1.808,9.601,-0.082,-0.068,0.032
1.645,1.810,9.632,-0.087,-0.075,0.032
1.674,1.824,9.644,-0.092,-0.078,0.031
1.707,1.856,9.637,-0.096,-0.082,0.031
1.726,1.891,9.644,-0.100,-0.085,0.030
1.733,1.920,9.658,-0.104,-0.086,0.027
1.745,1.942,9.661,-0.109,-0.087,0.022
1.745,1.956,9.668,-0.114,-0.088,0.015
1.743,1.973,9.665,-0.118,-0.089,0.007
1.753,1.990,9.661,-0.122,-0.090,0.001
1.755,1.999,9.656,-0.126,-0.092,-0.008
1.767,2.011,9.644,-0.130,-0.096,-0.017
1.769,2.004,9.603,-0.135,-0.099,-0.026
1.776,1.990,9.584,-0.139,-0.102,-0.033
1.765,1.937,9.553,-0.155,-0.115,-0.059
1.755,1.913,9.589,-0.160,-0.122,-0.068
1.762,1.925,9.574,-0.163,-0.127,-0.074
1.748,1.920,9.586,-0.166,-0.133,-0.081
1.741,1.939,9.606,-0.171,-0.137,-0.090
1.731,1.951,9.620,-0.176,-0.141,-0.097
1.719,1.946,9.644,-0.183,-0.144,-0.107
1.705,1.927,9.651,-0.189,-0.147,-0.116
1.693,1.930,9.646,-0.197,-0.148,-0.126
