-5.334,-0.974,8.586,0.058,0.031,-0.005
-5.327,-0.960,8.545,0.061,0.033,-0.009
-5.337,-0.955,8.526,0.062,0.034,-0.013
-5.329,-0.965,8.514,0.063,0.034,-0.018
-5.349,-0.965,8.511,0.063,0.033,-0.021
-5.358,-0.982,8.528,0.062,0.030,-0.025
-5.363,-1.015,8.516,0.059,0.028,-0.029
-5.361,-1.025,8.526,0.056,0.025,-0.031
-5.341,-1.022,8.521,0.054,0.024,-0.032
-5.334,-1.013,8.528,0.052,0.022,-0.033
-5.341,-1.008,8.533,0.050,0.019,-0.034
-5.332,-0.996,8.547,0.049,0.017,-0.036
-5.334,-0.974,8.554,0.045,0.014,-0.038
-5.329,-0.970,8.569,0.042,0.011,-0.041
-5.310,-0.958,8.554,0.041,0.010,-0.043
-5.301,-0.941,8.547,0.039,0.009,-0.046
-5.294,-0.936,8.569,0.039,0.007,-0.050
-5.286,-0.927,8.576,0.038,0.005,-0.054
-5.270,-0.924,8.595,0.037,0.003,-0.057
-5.246,-0.905,8.595,0.038,0.003,-0.061
-5.224,-0.879,8.602,0.039,0.003,-0.065
-5.195,-0.852,8.622,0.042,0.002,-0.073
-5.169,-0.852,8.641,0.042,0.001,-0.078
-5.160,-0.855,8.653,0.044,0.000,-0.081
-5.143,-0.862,8.655,0.047,-0.001,-0.083
-5.126,-0.843,8.653,0.051,-0.002,-0.087
-5.116,-0.852,8.655,0.054,-0.003,-0.089
-5.092,-0.852,8.679,0.056,-0.005,-0.090
-5.078,-0.845,8.686,0.056,-0.007,-0.092
-5.064,-0.845,8.708,0.056,-0.009,-0.094
-5.037,-0.845,8.758,0.056,-0.009,-0.095
-5.033,-0.843,8.789,0.055,-0.009,-0.097
-5.042,-0.852,8.815,0.053,-0.010,-0.097
-5.023,-0.862,8.818,0.050,-0.011,-0.098
-5.018,-0.864,8.820,0.044,-0.010,-0.099
-5.006,-0.881,8.856,0.037,-0.012,-0.100
-5.023,-0.900,8.849,0.028,-0.012,-0.099
-5.025,-0.903,8.854,0.022,-0.011,-0.099
-5.018,-0.917,8.871,0.014,-0.012,-0.099
-5.021,-0.922,8.839,0.006,-0.012,-0.098
-5.040,-0.929,8.830,-0.002,-0.011,-0.098
-5.052,-0.939,8.827,-0.006,-0.011,-0.097
-5.049,-0.960,8.811,-0.012,-0.009,-0.097
-5.076,-0.962,8.799,-0.015,-0.007,-0.096
-5.066,-0.955,8.780,-0.018,-0.005,-0.094
-5.076,-0.953,8.751,-0.020,-0.002,-0.093
-5.102,-0.958,8.736,-0.021,-0.002,-0.094
-5.090,-0.965,8.729,-0.021,-0.001,-0.095
-5.114,-0.955,8.727,-0.018,0.004,-0.095
-5.112,-0.955,8.734,-0.014,0.007,-0.095
-5.136,-0.948,8.751,-0.010,0.010,-0.096
-5.148,-0.958,8.751,-0.009,0.013,-0.097
-5.164,-0.941,8.770,-0.009,0.017,-0.098
-5.176,-0.939,8.784,-0.010,0.019,-0.100
-5.188,-0.958,8.806,-0.011,0.022,-0.101
-5.183,-0.977,8.784,-0.013,0.024,-0.103
-5.169,-0.994,8.760,-0.017,0.025,-0.103
-5.148,-1.013,8.751,-0.019,0.026,-0.104
-5.157,-1.020,8.746,-0.023,0.027,-0.104
-5.171,-1.037,8.732,-0.029,0.028,-0.104
-5.179,-1.073,8.693,-0.035,0.029,-0.103
-5.181,-1.085,8.684,-0.041,0.029,-0.102
-5.195,-1.106,8.691,-0.047,0.027,-0.101
-5.193,-1.120,8.674,-0.053,0.027,-0.099
-5.198,-1.128,8.665,-0.059,0.026,-0.098
-5.203,-1.142,8.645,-0.063,0.026,-0.096
-5.224,-1.154,8.631,-0.067,0.026,-0.094
-5.229,-1.171,8.614,-0.070,0.026,-0.092
-5.248,-1.202,8.626,-0.071,0.025,-0.088
-5.250,-1.233,8.619,-0.072,0.026,-0.085
-5.246,-1.245,8.602,-0.072,0.025,-0.081
-5.241,-1.269,8.588,-0.072,0.025,-0.078
-5.253,-1.293,8.569,-0.071,0.024,-0.073
