5.128,3.567,7.302,-0.075,0.030,0.087,111296
5.131,3.689,7.343,-0.062,0.039,0.102,111301
5.136,3.773,7.379,-0.057,0.044,0.109,111305
5.155,3.847,7.408,-0.053,0.052,0.112,111309
5.160,3.893,7.432,-0.053,0.057,0.111,111313
5.176,3.946,7.460,-0.056,0.065,0.108,111317
5.193,3.989,7.477,-0.061,0.074,0.102,111321
5.200,4.017,7.511,-0.067,0.082,0.095,111324
5.200,4.034,7.518,-0.074,0.089,0.088,111328
5.212,4.068,7.530,-0.081,0.095,0.083,111332
5.227,4.077,7.590,-0.090,0.103,0.077,111336
5.255,4.116,7.609,-0.100,0.110,0.070,111340
5.277,4.166,7.623,-0.111,0.118,0.060,111343
5.301,4.187,7.628,-0.124,0.127,0.047,111348
5.332,4.192,7.659,-0.138,0.137,0.034,111352
5.358,4.204,7.666,-0.152,0.148,0.018,111355
5.365,4.187,7.712,-0.164,0.158,0.005,111359
5.382,4.183,7.719,-0.173,0.165,-0.004,111363
5.416,4.161,7.712,-0.183,0.175,-0.013,111367
5.449,4.149,7.676,-0.193,0.184,-0.022,111371
5.461,4.135,7.669,-0.202,0.190,-0.029,111374
5.497,4.118,7.638,-0.210,0.197,-0.036,111378
5.521,4.111,7.642,-0.218,0.201,-0.043,111382
5.540,4.101,7.640,-0.225,0.205,-0.048,111386
5.564,4.087,7.659,-0.239,0.209,-0.059,111392
5.595,4.063,7.678,-0.253,0.218,-0.071,111398
5.612,4.027,7.695,-0.262,0.224,-0.080,111402
5.619,4.003,7.733,-0.273,0.230,-0.089,111406
5.626,3.972,7.733,-0.284,0.237,-0.098,111409
5.636,3.948,7.740,-0.297,0.245,-0.106,111413
5.653,3.912,7.750,-0.310,0.253,-0.114,111417
5.660,3.881,7.764,-0.321,0.260,-0.121,111421
5.669,3.836,7.769,-0.335,0.271,-0.129,111425
5.679,3.788,7.774,-0.349,0.282,-0.136,111429
5.674,3.747,7.767,-0.363,0.294,-0.142,111432
5.662,3.692,7.736,-0.374,0.307,-0.147,111436
5.665,3.651,7.695,-0.381,0.316,-0.148,111440
5.655,3.565,7.642,-0.394,0.329,-0.151,111444
5.646,3.510,7.585,-0.405,0.339,-0.151,111448
5.650,3.452,7.539,-0.412,0.345,-0.151,111452
5.660,3.402,7.475,-0.422,0.352,-0.148,111456
5.674,3.352,7.410,-0.428,0.356,-0.144,111460
5.681,3.290,7.362,-0.432,0.359,-0.138,111463
5.701,3.218,7.319,-0.434,0.361,-0.131,111467
5.739,3.163,7.247,-0.436,0.363,-0.123,111471
5.760,3.117,7.202,-0.437,0.364,-0.116,111475
5.768,3.048,7.125,-0.436,0.364,-0.104,111479
5.789,2.969,7.089,-0.432,0.360,-0.088,111483
5.794,2.878,7.053,-0.420,0.353,-0.056,111489
5.794,2.820,7.005,-0.406,0.346,-0.026,111494
5.818,2.806,6.979,-0.391,0.338,0.007,111498
5.825,2.808,6.960,-0.384,0.335,0.025,111502
5.830,2.818,6.941,-0.377,0.329,0.047,111506
5.830,2.840,6.859,-0.372,0.325,0.066,111510
5.799,2.832,6.797,-0.370,0.319,0.083,111513
5.765,2.808,6.721,-0.371,0.313,0.097,111517
5.737,2.782,6.656,-0.373,0.306,0.108,111521
